visitorid,first_seen,last_seen,total_events,total_views,unique_items,unique_categories,avg_price_viewed,max_price_viewed,avg_availability,has_converted,user_tenure_days,events_per_day,conversion_rate
205,2015-07-06 00:14:55.895,2015-07-09 00:30:04.722,29,29,2,1,146158.72551724137,350040.0,0.3793103448275862,0,3,9.666666666666666,0.0
206,2015-07-01 21:00:31.421,2015-07-01 21:00:31.421,3,3,1,1,10640.0,30840.0,0.0,0,1,3.0,0.0
207,2015-07-17 19:35:24.653,2015-07-17 19:35:24.653,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
208,2015-05-21 16:17:15.253,2015-05-21 16:17:15.253,48,48,1,2,281410.0,479880.0,0.5,0,1,48.0,0.0
209,2015-06-21 16:45:13.313,2015-06-21 16:45:13.313,26,26,1,1,101337.78461538462,154680.0,0.5,0,1,26.0,0.0
210,2015-08-01 15:41:26.443,2015-08-01 15:41:26.443,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
211,2015-05-31 05:06:31.991,2015-05-31 05:06:31.991,1,1,1,1,11160.0,11160.0,0.0,0,1,1.0,0.0
212,2015-08-25 05:01:31.263,2015-08-25 05:02:52.703,8,8,1,1,65838.0,239160.0,0.0,0,1,8.0,0.0
213,2015-05-16 06:51:42.294,2015-05-16 06:51:53.897,20,20,2,1,31375.2,125520.0,0.5,0,1,20.0,0.0
214,2015-07-13 00:50:51.177,2015-07-13 00:50:51.177,12,12,1,1,83278.0,129480.0,0.5,0,1,12.0,0.0
215,2015-07-19 15:58:41.218,2015-07-19 15:58:41.218,5,5,1,1,18098.4,87600.0,0.0,0,1,5.0,0.0
216,2015-07-07 02:47:52.974,2015-07-07 02:53:19.142,52,52,2,2,108581.53846153847,125040.0,0.6153846153846154,0,1,52.0,0.0
217,2015-07-13 13:07:57.822,2015-07-13 13:07:57.822,2,2,1,1,34086.0,68160.0,0.0,0,1,2.0,0.0
218,2015-08-16 02:31:58.385,2015-08-16 02:31:58.385,12,12,1,1,146960.0,316560.0,0.5,0,1,12.0,0.0
219,2015-08-20 21:23:29.541,2015-08-20 21:24:31.123,10,10,1,1,13923.36,50616.0,0.0,0,1,10.0,0.0
220,2015-07-11 15:55:32.131,2015-07-11 15:55:32.131,4,4,1,2,2034.0,3840.0,0.0,0,1,4.0,0.0
221,2015-09-15 03:54:22.290,2015-09-15 03:54:22.290,12,12,1,1,20162.0,26760.0,0.5,0,1,12.0,0.0
222,2015-08-21 00:15:31.823,2015-08-21 00:15:31.823,2,2,1,1,23358.6,46680.0,0.0,0,1,2.0,0.0
223,2015-07-11 13:41:02.549,2015-07-11 13:41:02.549,10,10,1,1,30458.4,39480.0,0.5,0,1,10.0,0.0
224,2015-08-03 04:48:38.114,2015-08-03 05:31:31.945,180,180,3,1,34551.17333333333,56016.0,0.7,0,1,180.0,0.0
225,2015-06-22 18:00:09.284,2015-06-22 18:00:09.284,34,34,1,1,2239744.260705882,36025284.0,0.5,0,1,34.0,0.0
226,2015-09-01 02:01:36.196,2015-09-01 02:01:36.196,22,22,1,1,140660.72727272726,186960.0,0.5,0,1,22.0,0.0
227,2015-06-30 01:21:56.751,2015-06-30 01:22:15.509,2,2,1,0,0.0,0.0,0.0,0,1,2.0,0.0
228,2015-06-24 00:53:01.120,2015-06-24 00:53:01.120,8,8,1,1,291228.0,996792.0,0.5,0,1,8.0,0.0
229,2015-07-02 14:48:34.601,2015-07-02 14:48:34.601,2,2,1,1,170796.0,289032.0,1.0,0,1,2.0,0.0
230,2015-08-24 18:55:30.339,2015-08-24 18:56:10.628,21,21,2,1,187053.7142857143,238920.0,1.0,0,1,21.0,0.0
231,2015-07-17 16:49:33.001,2015-07-17 16:51:34.958,6,6,1,1,17240.0,27360.0,0.0,0,1,6.0,0.0
232,2015-05-28 18:23:38.972,2015-05-28 18:23:38.972,10,10,1,1,84043.2,145068.0,0.5,0,1,10.0,0.0
233,2015-09-16 19:59:47.836,2015-09-16 19:59:47.836,4,4,1,1,20706.0,29280.0,1.0,0,1,4.0,0.0
234,2015-08-20 16:43:46.616,2015-08-20 16:43:46.616,12,12,1,1,149362.0,794292.0,0.5,0,1,12.0,0.0
235,2015-05-27 02:01:54.991,2015-05-27 02:01:54.991,6,6,1,2,132704.0,385320.0,0.0,0,1,6.0,0.0
236,2015-05-23 21:33:23.875,2015-05-23 21:33:23.875,5,5,1,1,9710.4,31800.0,0.0,0,1,5.0,0.0
237,2015-07-23 03:42:18.752,2015-07-23 03:42:18.752,3,3,1,1,13270.0,24330.0,0.0,0,1,3.0,0.0
238,2015-09-04 23:56:28.378,2015-09-04 23:56:28.378,1,1,1,1,22848.0,22848.0,0.0,0,1,1.0,0.0
239,2015-05-13 20:38:17.704,2015-05-13 20:38:17.704,11,11,1,1,62952.06545454545,98880.0,1.0,0,1,11.0,0.0
240,2015-05-20 03:15:43.183,2015-05-20 03:15:43.183,24,24,1,1,275141.0,349080.0,0.5,0,1,24.0,0.0
241,2015-08-12 14:07:21.168,2015-08-12 14:07:21.168,1,1,1,1,6000.0,6000.0,0.0,0,1,1.0,0.0
242,2015-07-28 19:40:21.157,2015-07-28 19:40:21.157,3,3,1,1,214724.0,328080.0,0.0,0,1,3.0,0.0
243,2015-06-15 21:27:43.883,2015-06-15 21:27:43.883,14,14,1,1,29496.0,40080.0,0.5,0,1,14.0,0.0
244,2015-06-14 19:13:58.411,2015-06-14 19:13:58.411,2,2,1,1,8646.0,17280.0,0.0,0,1,2.0,0.0
245,2015-05-19 20:37:21.281,2015-08-14 22:55:08.970,2,2,2,0,0.0,0.0,0.0,0,87,0.022988505747126436,0.0
246,2015-07-03 16:52:36.814,2015-07-03 16:52:36.814,2,2,1,1,5550365460.0,11100720036.0,0.0,0,1,2.0,0.0
247,2015-06-16 02:14:54.936,2015-06-16 02:14:54.936,4,4,1,1,40548.0,152040.0,0.0,0,1,4.0,0.0
248,2015-08-31 01:49:02.616,2015-08-31 01:52:55.094,52,52,1,1,68116.61538461539,96720.0,1.0,0,1,52.0,0.0
249,2015-06-09 19:50:16.779,2015-06-09 19:50:16.779,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
250,2015-07-20 11:43:20.819,2015-07-20 11:43:20.819,3,3,1,3,92640.0,92640.0,0.0,0,1,3.0,0.0
251,2015-05-24 22:17:19.475,2015-07-25 19:51:50.760,4,4,2,2,240406113.0,961164228.0,0.0,0,61,0.06557377049180328,0.0
252,2015-08-20 22:05:50.909,2015-08-20 22:05:50.909,3,3,1,1,6532.0,15360.0,0.0,0,1,3.0,0.0
253,2015-05-18 12:13:15.242,2015-05-26 08:32:22.147,6,6,2,2,21706.0,84960.0,0.0,0,7,0.8571428571428571,0.0
254,2015-07-15 02:26:07.810,2015-07-15 02:26:56.478,32,32,2,1,312807.75,587880.0,0.5,0,1,32.0,0.0
255,2015-08-27 07:48:19.691,2015-08-27 07:49:07.215,48,48,1,2,47032.0,120720.0,0.5,0,1,48.0,0.0
256,2015-09-17 18:42:54.364,2015-09-17 18:42:54.364,24,24,1,1,15425.0,22440.0,0.5,0,1,24.0,0.0
257,2015-06-01 13:53:31.872,2015-06-01 13:53:31.872,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
258,2015-08-15 02:52:30.498,2015-08-15 02:58:24.929,9,9,3,1,43852.0,76800.0,0.8888888888888888,0,1,9.0,0.0
259,2015-08-30 15:27:55.332,2015-08-30 15:27:55.332,8,8,1,1,15750.0,18480.0,0.5,0,1,8.0,0.0
260,2015-07-30 21:01:02.206,2015-07-30 21:01:02.206,8,8,1,1,28072.5,35880.0,1.0,0,1,8.0,0.0
261,2015-06-03 17:09:01.622,2015-06-03 17:09:01.622,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
262,2015-08-17 04:10:57.128,2015-08-17 04:10:57.128,8,8,1,1,227736.0,307080.0,0.5,0,1,8.0,0.0
263,2015-05-14 23:44:05.124,2015-05-14 23:44:05.124,10,10,1,1,68098.8,131880.0,0.5,0,1,10.0,0.0
264,2015-09-07 17:09:12.830,2015-09-07 17:34:45.708,66,26,2,1,17146032.545454547,376404000.0,0.8181818181818182,1,1,66.0,0.038461538461538464
265,2015-09-08 02:21:44.062,2015-09-08 02:21:44.062,28,28,1,1,162744.0,238080.0,0.5,0,1,28.0,0.0
266,2015-07-03 15:10:57.727,2015-07-03 15:15:09.677,98,98,4,1,176005.4693877551,293520.0,0.5,0,1,98.0,0.0
267,2015-08-12 00:43:16.534,2015-08-12 00:43:16.534,8,8,1,1,15448.5,21720.0,1.0,0,1,8.0,0.0
268,2015-06-01 05:52:46.906,2015-06-01 05:53:17.517,18,18,2,1,25282.946666666667,239880.0,0.0,0,1,18.0,0.0
269,2015-05-04 20:39:22.007,2015-05-04 20:39:22.007,1,1,1,1,6360.0,6360.0,0.0,0,1,1.0,0.0
270,2015-07-28 02:18:05.230,2015-08-03 15:11:03.160,39,39,1,1,32440.0,95880.0,0.0,0,6,6.5,0.0
271,2015-09-15 16:31:24.654,2015-09-15 16:31:24.654,13,13,1,1,20943.82153846154,267120.0,0.0,0,1,13.0,0.0
272,2015-05-13 00:40:03.566,2015-05-13 00:41:12.457,6,6,1,1,101280.0,280320.0,0.0,0,1,6.0,0.0
273,2015-08-18 17:37:39.582,2015-08-18 17:37:39.582,1,1,1,1,78360.0,78360.0,0.0,0,1,1.0,0.0
274,2015-08-12 21:29:47.404,2015-08-12 21:29:47.404,1,1,1,1,53520.0,53520.0,0.0,0,1,1.0,0.0
275,2015-08-03 15:13:15.832,2015-08-03 15:13:15.832,6,6,1,1,274600.0,282360.0,0.5,0,1,6.0,0.0
276,2015-08-09 14:34:11.314,2015-08-09 14:34:11.314,2,2,1,1,8466.0,16920.0,0.0,0,1,2.0,0.0
277,2015-08-23 15:47:21.482,2015-08-23 15:47:21.482,3,3,1,3,108960.0,108960.0,0.0,0,1,3.0,0.0
278,2015-05-15 20:53:23.824,2015-09-13 18:34:42.851,15,15,3,3,558345.6,2787960.0,0.3333333333333333,0,120,0.125,0.0
279,2015-06-24 18:30:16.824,2015-06-24 18:30:16.824,10,10,1,1,236896.8,1015212.0,0.5,0,1,10.0,0.0
280,2015-08-20 13:14:45.131,2015-08-20 13:14:45.131,8,8,1,1,80385.0,120000.0,0.5,0,1,8.0,0.0
281,2015-07-25 15:30:01.619,2015-07-25 15:30:01.619,4,4,1,1,41424.0,102000.0,0.0,0,1,4.0,0.0
282,2015-06-16 20:16:12.269,2015-06-16 20:16:12.269,4,4,1,1,13020.0,15360.0,0.5,0,1,4.0,0.0
283,2015-06-03 03:39:08.968,2015-06-03 03:39:08.968,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
284,2015-09-11 17:55:30.299,2015-09-11 17:55:30.299,2,2,1,1,69720.0,69720.0,0.5,0,1,2.0,0.0
285,2015-09-14 00:21:36.484,2015-09-14 00:21:36.484,20,20,1,1,66043.2,86280.0,0.5,0,1,20.0,0.0
286,2015-07-10 22:32:23.431,2015-07-10 22:32:23.431,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
287,2015-08-28 03:38:10.887,2015-08-28 03:39:20.194,66,66,2,1,195391.67636363636,430440.0,0.6363636363636364,0,1,66.0,0.0
288,2015-08-31 19:50:58.582,2015-08-31 19:50:58.582,1,1,1,1,154440.0,154440.0,0.0,0,1,1.0,0.0
289,2015-07-10 20:28:25.931,2015-07-10 20:28:25.931,3,3,1,1,61988.0,175080.0,0.0,0,1,3.0,0.0
290,2015-07-04 01:00:14.631,2015-07-04 01:00:14.631,3,3,1,1,79040.0,213600.0,0.0,0,1,3.0,0.0
291,2015-06-18 03:03:54.567,2015-06-18 03:03:54.567,8,8,1,1,57240.0,61920.0,0.5,0,1,8.0,0.0
292,2015-05-15 03:18:34.265,2015-05-15 03:48:08.971,8,8,1,1,4430.31,17280.0,0.0,0,1,8.0,0.0
293,2015-07-26 03:28:31.952,2015-07-26 03:28:31.952,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
294,2015-07-16 20:44:02.193,2015-07-16 20:44:02.193,18,18,1,1,38746.666666666664,57120.0,0.5,0,1,18.0,0.0
295,2015-07-16 22:56:09.078,2015-08-19 16:22:39.016,38,38,2,2,115750.94526315789,205200.0,0.5,0,33,1.1515151515151516,0.0
296,2015-07-26 23:03:52.443,2015-07-26 23:08:51.000,28,28,2,1,35820.0,55680.0,0.5,0,1,28.0,0.0
297,2015-05-23 19:27:07.397,2015-05-23 19:27:07.397,3,3,1,1,10732.0,26160.0,0.0,0,1,3.0,0.0
298,2015-07-24 15:28:13.767,2015-08-06 22:28:18.323,19,19,3,2,93454.6105263158,779160.0,0.0,0,13,1.4615384615384615,0.0
299,2015-05-26 15:11:03.031,2015-06-23 15:35:39.814,46,32,3,1,298922.347826087,663120.0,0.4782608695652174,0,28,1.6428571428571428,0.0
300,2015-08-01 02:29:30.902,2015-08-01 02:29:30.902,14,14,1,1,13148.57142857143,23160.0,0.5,0,1,14.0,0.0
301,2015-06-10 21:04:18.505,2015-06-10 21:08:46.492,2,2,2,0,0.0,0.0,0.0,0,1,2.0,0.0
302,2015-05-05 23:00:02.934,2015-05-05 23:00:50.661,48,24,1,1,113683.5,156240.0,0.5,0,1,48.0,0.0
303,2015-05-14 23:39:52.348,2015-05-14 23:39:52.348,5,5,1,1,21309.6,22320.0,1.0,0,1,5.0,0.0
304,2015-09-15 00:30:09.312,2015-09-15 00:30:09.312,1,1,1,1,176160.0,176160.0,0.0,0,1,1.0,0.0
305,2015-07-07 06:27:19.354,2015-07-07 06:27:19.354,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
306,2015-07-04 08:55:22.469,2015-07-04 08:58:00.548,49,49,6,1,46373.38775510204,112056.0,0.5714285714285714,0,1,49.0,0.0
307,2015-07-04 03:58:23.184,2015-07-04 03:58:55.299,56,56,1,1,328315.32857142854,822120.0,0.5,0,1,56.0,0.0
308,2015-08-31 14:24:41.380,2015-08-31 14:24:41.380,16,16,1,2,24693.0,49800.0,1.0,0,1,16.0,0.0
309,2015-07-15 16:43:45.744,2015-07-15 16:43:45.744,5,5,1,1,77856.95999999999,357960.0,0.0,0,1,5.0,0.0
310,2015-05-04 21:05:06.053,2015-05-04 21:05:06.053,8,8,1,1,227736.0,307080.0,0.5,0,1,8.0,0.0
311,2015-07-26 20:00:34.970,2015-07-26 20:00:34.970,5,5,1,1,31629.6,145560.0,0.0,0,1,5.0,0.0
312,2015-05-25 00:24:32.840,2015-05-25 00:24:32.840,2,2,1,1,31680.0,31680.0,0.5,0,1,2.0,0.0
313,2015-07-06 21:30:16.103,2015-07-06 21:30:16.103,1,1,1,1,65640.0,65640.0,0.0,0,1,1.0,0.0
314,2015-05-14 20:07:14.849,2015-05-14 20:07:14.849,8,8,1,1,95430.0,136320.0,0.5,0,1,8.0,0.0
315,2015-09-08 17:11:20.736,2015-09-08 17:11:20.736,42,42,1,1,92273.4857142857,135120.0,0.5,0,1,42.0,0.0
316,2015-08-03 14:18:36.373,2015-08-03 14:18:36.373,16,16,1,1,91335.0,102240.0,0.5,0,1,16.0,0.0
317,2015-07-29 17:58:47.306,2015-07-29 17:59:52.015,122,122,2,1,79139.2131147541,131640.0,0.6721311475409836,0,1,122.0,0.0
318,2015-06-29 19:47:43.507,2015-06-29 20:03:45.080,252,208,7,2,91332.19047619047,293040.0,0.5317460317460317,0,1,252.0,0.0
319,2015-06-07 17:13:11.924,2015-06-07 17:13:21.288,25,25,2,1,19784.976000000002,28800.0,0.44,0,1,25.0,0.0
320,2015-08-01 07:26:30.623,2015-08-01 07:26:30.623,2,2,1,1,71535.0,143040.0,0.0,0,1,2.0,0.0
321,2015-07-15 20:12:00.977,2015-07-15 20:12:00.977,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
322,2015-05-13 14:36:45.456,2015-05-13 14:36:45.456,8,8,1,1,29550.0,33000.0,0.5,0,1,8.0,0.0
323,2015-07-27 00:31:03.533,2015-07-27 00:31:03.533,4,4,1,1,99801.3,142560.0,0.0,0,1,4.0,0.0
324,2015-08-18 15:53:56.948,2015-08-18 15:53:56.948,22,22,1,1,44263.63636363636,59280.0,0.5,0,1,22.0,0.0
325,2015-07-13 14:36:20.806,2015-07-13 14:36:20.806,2,2,1,1,4140.0,8040.0,0.0,0,1,2.0,0.0
326,2015-06-06 18:56:18.813,2015-06-06 18:56:18.813,4,4,1,1,18939.0,52080.0,0.0,0,1,4.0,0.0
327,2015-06-05 13:32:18.964,2015-06-05 13:32:18.964,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
328,2015-09-10 16:06:57.959,2015-09-10 16:06:57.959,2,2,1,1,170112.0,340200.0,0.0,0,1,2.0,0.0
329,2015-06-18 00:02:12.432,2015-08-04 20:46:42.317,6,6,3,2,6306.0,9600.0,0.6666666666666666,0,47,0.1276595744680851,0.0
330,2015-06-18 18:29:52.636,2015-06-18 18:29:52.636,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
331,2015-08-25 19:05:09.070,2015-08-25 19:05:09.070,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
332,2015-07-21 02:42:54.401,2015-07-21 02:42:54.401,22,22,1,1,175409.45454545456,210840.0,0.5,0,1,22.0,0.0
333,2015-05-24 14:19:49.082,2015-05-24 15:32:23.079,3,3,1,0,0.0,0.0,0.0,0,1,3.0,0.0
334,2015-08-25 05:00:12.996,2015-08-25 05:00:12.996,3,3,1,1,15164.0,44640.0,0.0,0,1,3.0,0.0
335,2015-08-15 21:26:45.272,2015-08-15 21:26:45.272,9,9,1,1,62206.666666666664,84000.0,1.0,0,1,9.0,0.0
336,2015-08-01 00:10:11.733,2015-08-01 00:10:11.733,44,44,1,1,35515.09090909091,55680.0,0.5,0,1,44.0,0.0
337,2015-05-09 05:05:08.264,2015-06-01 20:51:28.551,8,8,1,2,34800.0,65400.0,0.0,0,23,0.34782608695652173,0.0
338,2015-08-24 22:44:02.983,2015-08-24 22:44:02.983,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
339,2015-08-19 21:38:21.023,2015-08-19 21:38:21.023,2,2,1,1,19800.0,25200.0,0.0,0,1,2.0,0.0
340,2015-08-21 20:20:37.419,2015-08-21 20:20:37.419,6,6,1,1,296780.0,853968.0,0.5,0,1,6.0,0.0
341,2015-05-16 23:15:03.985,2015-08-02 15:35:20.301,13,13,5,3,650367.0,6610008.0,0.3333333333333333,0,77,0.16883116883116883,0.0
342,2015-07-02 14:13:14.125,2015-07-10 13:01:43.347,4,4,1,1,34659.0,69240.0,0.0,0,7,0.5714285714285714,0.0
343,2015-06-25 20:20:28.653,2015-06-25 20:20:28.653,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
344,2015-08-19 03:54:28.407,2015-08-19 04:45:26.638,36,36,3,1,11666.666666666666,13452.0,0.5,0,1,36.0,0.0
345,2015-05-15 18:02:08.088,2015-05-15 18:02:08.088,6,6,1,1,38728.0,40680.0,0.5,0,1,6.0,0.0
346,2015-06-24 00:15:30.698,2015-06-24 00:15:30.698,2,2,1,1,6180.0,12240.0,0.0,0,1,2.0,0.0
347,2015-07-17 02:22:37.807,2015-07-17 02:22:37.807,4,4,1,1,177678.0,697320.0,0.0,0,1,4.0,0.0
348,2015-07-08 01:10:06.057,2015-07-08 01:10:06.057,6,6,1,1,61630.0,77400.0,1.0,0,1,6.0,0.0
349,2015-06-13 02:22:33.326,2015-06-13 02:22:33.326,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
350,2015-08-23 21:39:30.932,2015-08-23 21:40:56.883,43,43,2,1,37921.841860465116,61680.0,0.6511627906976745,0,1,43.0,0.0
351,2015-09-14 07:11:03.591,2015-09-14 07:32:56.785,120,120,14,1,61501.7,158040.0,0.625,0,1,120.0,0.0
352,2015-09-03 00:50:21.890,2015-09-03 00:50:21.890,2,2,1,1,22092.0,44040.0,0.0,0,1,2.0,0.0
353,2015-07-17 21:00:05.416,2015-07-17 21:01:42.967,28,28,3,2,161974.2857142857,1620780.0,0.5,0,1,28.0,0.0
354,2015-06-14 18:43:08.528,2015-06-14 18:43:08.528,6,6,1,1,10373.0,30960.0,0.5,0,1,6.0,0.0
355,2015-08-19 21:02:38.726,2015-08-19 21:02:38.726,7,7,1,1,72037.71428571429,420960.0,1.0,0,1,7.0,0.0
356,2015-07-07 17:34:03.176,2015-07-07 17:34:03.176,10,10,1,1,260856.0,443880.0,0.5,0,1,10.0,0.0
357,2015-07-21 19:03:02.966,2015-07-21 19:04:06.074,47,47,3,1,23458.08510638298,59760.0,0.5957446808510638,0,1,47.0,0.0
358,2015-05-24 23:02:24.856,2015-05-24 23:05:09.252,113,113,5,1,287335.4336283186,842280.0,0.6637168141592921,0,1,113.0,0.0
359,2015-09-02 00:06:52.886,2015-09-02 00:06:52.886,15,15,1,1,378262.4,546600.0,1.0,0,1,15.0,0.0
360,2015-06-24 19:42:55.355,2015-06-24 19:42:55.355,1,1,1,1,4680.0,4680.0,0.0,0,1,1.0,0.0
361,2015-07-26 22:54:29.939,2015-07-26 22:54:29.939,3,3,1,1,120500.0,132360.0,1.0,0,1,3.0,0.0
362,2015-05-21 01:19:53.560,2015-05-21 01:19:53.560,12,12,1,1,377860.0,1132200.0,0.5,0,1,12.0,0.0
363,2015-07-07 22:11:22.027,2015-07-20 18:03:48.150,110,88,1,1,146782.9090909091,172080.0,0.5,0,12,9.166666666666666,0.0
364,2015-07-04 06:41:46.582,2015-07-04 06:41:46.582,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
365,2015-08-18 19:26:51.017,2015-08-18 19:26:51.017,5,5,1,1,291108.0,1440012.0,1.0,0,1,5.0,0.0
366,2015-08-21 22:25:05.288,2015-08-21 22:25:05.288,2,2,1,1,7206.0,14400.0,0.0,0,1,2.0,0.0
367,2015-06-09 22:59:47.515,2015-06-09 22:59:47.515,2,2,1,1,72780.0,142680.0,0.0,0,1,2.0,0.0
368,2015-08-13 01:40:15.642,2015-08-13 01:40:15.642,1,1,1,1,52800.0,52800.0,0.0,0,1,1.0,0.0
369,2015-05-22 21:41:30.629,2015-05-22 21:41:30.629,16,16,1,1,150909.0,246960.0,0.5,0,1,16.0,0.0
370,2015-07-08 18:59:53.882,2015-07-08 19:02:21.620,10,10,2,1,398932.8,812640.0,0.5,0,1,10.0,0.0
371,2015-07-21 18:40:24.243,2015-07-21 18:40:24.243,4,4,1,1,11877.0,24000.0,0.0,0,1,4.0,0.0
372,2015-09-12 08:02:38.891,2015-09-12 08:02:38.891,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
373,2015-07-17 10:16:57.610,2015-07-17 10:16:57.610,2,2,1,1,272604.0,522288.0,0.0,0,1,2.0,0.0
374,2015-09-04 04:24:33.543,2015-09-04 04:52:21.230,18,18,3,2,135932.0,284280.0,0.5555555555555556,0,1,18.0,0.0
375,2015-07-06 00:21:49.132,2015-07-06 00:22:16.473,20,20,1,1,1282668.0,6340932.0,0.5,0,1,20.0,0.0
376,2015-07-15 22:00:32.728,2015-07-15 22:00:32.728,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
377,2015-08-23 16:08:07.620,2015-08-23 16:08:07.620,1,1,1,1,71160.0,71160.0,0.0,0,1,1.0,0.0
378,2015-08-16 19:39:11.248,2015-08-16 19:39:11.248,3,3,1,1,18165.2,46800.0,0.0,0,1,3.0,0.0
379,2015-08-16 15:00:08.265,2015-08-16 15:03:36.329,66,38,2,1,269555.2727272727,389880.0,0.9242424242424242,0,1,66.0,0.0
380,2015-05-14 13:15:45.155,2015-05-14 13:15:45.155,26,26,1,1,54882799.01538462,712942548.0,0.5,0,1,26.0,0.0
381,2015-06-04 19:41:56.588,2015-06-04 19:43:02.919,34,34,2,2,118876.94117647059,263880.0,0.5,0,1,34.0,0.0
382,2015-07-24 05:57:56.012,2015-07-24 05:57:56.012,6,6,1,1,33880.0,89160.0,0.0,0,1,6.0,0.0
383,2015-05-04 15:45:39.807,2015-05-04 15:53:24.115,14,14,8,1,27411.428571428572,31560.0,1.0,0,1,14.0,0.0
384,2015-06-08 19:31:22.468,2015-06-08 19:31:22.468,4,4,1,1,39654.0,148296.0,0.0,0,1,4.0,0.0
385,2015-05-03 05:36:01.994,2015-05-03 05:36:01.994,18,18,1,1,125533.33333333333,169800.0,0.5,0,1,18.0,0.0
386,2015-08-03 01:03:03.812,2015-08-03 01:03:03.812,1,1,1,1,150480.0,150480.0,0.0,0,1,1.0,0.0
387,2015-07-05 04:48:47.512,2015-07-05 05:05:50.063,6,6,4,0,0.0,0.0,0.0,0,1,6.0,0.0
388,2015-05-28 03:52:00.660,2015-05-28 03:52:00.660,4,4,1,1,24970.5,64800.0,0.0,0,1,4.0,0.0
389,2015-08-15 22:08:56.113,2015-08-15 22:08:56.113,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
390,2015-08-30 14:47:15.722,2015-08-30 14:47:15.722,4,4,1,1,9750.0,28320.0,0.0,0,1,4.0,0.0
391,2015-09-06 18:16:48.441,2015-09-06 18:40:37.687,22,22,2,1,21914846.181818184,240180060.0,1.0,0,1,22.0,0.0
392,2015-06-26 13:08:58.703,2015-06-26 13:08:58.703,5,5,1,1,51220.8,219120.0,0.0,0,1,5.0,0.0
393,2015-05-12 12:57:20.625,2015-05-12 12:57:20.625,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
394,2015-08-13 20:11:45.995,2015-08-13 20:11:45.995,4,4,1,1,29433.0,117000.0,0.0,0,1,4.0,0.0
395,2015-09-09 09:32:36.783,2015-09-09 09:32:36.783,3,3,1,3,110400.0,110400.0,0.0,0,1,3.0,0.0
396,2015-06-16 17:55:20.047,2015-06-16 21:55:08.140,8,8,1,1,64494.0,240600.0,0.0,0,1,8.0,0.0
397,2015-07-30 17:16:52.752,2015-07-30 17:16:52.752,24,24,1,2,31221.2,43980.0,0.5,0,1,24.0,0.0
398,2015-08-10 15:20:51.667,2015-08-10 15:20:51.667,1,1,1,1,17160.0,17160.0,0.0,0,1,1.0,0.0
399,2015-08-02 01:44:04.336,2015-08-03 23:13:33.154,28,28,2,1,100748.33571428571,150720.0,1.0,0,1,28.0,0.0
400,2015-05-31 19:50:49.419,2015-05-31 19:50:49.419,3,3,1,1,28176.0,84480.0,0.0,0,1,3.0,0.0
401,2015-05-13 02:30:06.630,2015-05-13 02:30:06.630,1,1,1,1,19080.0,19080.0,0.0,0,1,1.0,0.0
402,2015-05-19 23:55:54.074,2015-05-19 23:55:54.074,22,22,1,1,178636.36363636365,220920.0,0.5,0,1,22.0,0.0
403,2015-08-01 01:39:14.362,2015-08-01 01:39:14.362,4,4,1,2,6870.0,13440.0,0.0,0,1,4.0,0.0
404,2015-07-02 07:02:36.917,2015-07-02 07:02:36.917,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
405,2015-07-01 23:49:23.471,2015-07-01 23:49:23.471,2,2,1,1,25644.0,51240.0,0.0,0,1,2.0,0.0
406,2015-09-05 19:56:38.704,2015-09-05 19:56:38.704,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
407,2015-07-30 03:20:21.306,2015-07-30 03:40:53.432,4,4,1,1,21300.0,42240.0,0.0,0,1,4.0,0.0
408,2015-07-08 20:32:49.394,2015-07-08 20:32:49.394,3,3,1,1,7604.0,22440.0,0.0,0,1,3.0,0.0
409,2015-05-22 18:19:03.827,2015-05-22 18:19:03.827,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
410,2015-09-04 17:41:01.443,2015-09-04 17:44:42.081,49,49,3,1,333080.32653061225,447240.0,0.7551020408163265,0,1,49.0,0.0
